trial,shared_buffers,work_mem,maintenance_work_mem,max_parallel_workers_per_gather,checkpoint_completion_target,random_page_cost,effective_cache_size,tps,latency average,number of transactions actually processed,number of failed transactions
0,4GB,40MB,192MB,9,0.7454562418017752,1.0550213529560302,8MB,3583.193351,8.931,71675.0,0.0
1,2GB,40MB,192MB,3,0.7426310309218228,1.019515477895584,24MB,4783.40467,6.69,95713.0,0.0
2,2GB,8MB,704MB,5,0.8366775698358199,1.0554563366576581,24MB,8712.994683,3.673,174274.0,0.0
3,4GB,40MB,960MB,9,0.8356740207895621,1.0422772674924288,20MB,4298.066907,7.445,85959.0,0.0
4,4GB,16MB,64MB,11,0.7827245062131623,1.0190675050858071,8MB,9778.979703,3.272,195628.0,0.0
5,4GB,60MB,448MB,5,0.726972856748326,1.0094287557060202,16MB,6929.339609,4.618,138638.0,0.0
6,8GB,16MB,448MB,7,0.9009180192247785,1.0559710176658108,24MB,7784.714921,4.111,155721.0,0.0
7,8GB,24MB,64MB,3,0.7844037928509069,1.2828729111737558,8MB,8936.987204,3.581,178765.0,0.0
8,4GB,64MB,960MB,7,0.9270664714916634,1.0718685672000918,4MB,9983.106965,3.205,199709.0,0.0
9,4GB,44MB,832MB,11,0.7466296275999635,1.0122325424664291,16MB,5440.26388,5.882,108848.0,0.0
0,4GB,40MB,192MB,9,0.7454562418017752,1.0550213529560302,8MB,3787.134592,8.45,37839.0,0.0
1,2GB,40MB,192MB,3,0.7426310309218228,1.019515477895584,24MB,11797.409417,2.712,117851.0,0.0
2,2GB,8MB,704MB,5,0.8366775698358199,1.0554563366576581,24MB,11265.578474,2.841,112571.0,0.0
3,4GB,40MB,960MB,9,0.8356740207895621,1.0422772674924288,20MB,12327.031675,2.596,123292.0,0.0
4,4GB,16MB,64MB,11,0.7827245062131623,1.0190675050858071,8MB,8467.144195,3.779,84586.0,0.0
5,4GB,60MB,448MB,5,0.726972856748326,1.0094287557060202,16MB,16004.482044,1.999,159829.0,0.0
6,8GB,16MB,448MB,7,0.9009180192247785,1.0559710176658108,24MB,14473.113438,2.211,144702.0,0.0
7,8GB,24MB,64MB,3,0.7844037928509069,1.2828729111737558,8MB,13019.085257,2.458,130082.0,0.0
8,4GB,64MB,960MB,7,0.9270664714916634,1.0718685672000918,4MB,13724.318992,2.332,137171.0,0.0
9,4GB,44MB,832MB,11,0.7466296275999635,1.0122325424664291,16MB,8152.907505,3.925,81450.0,0.0
10,2GB,60MB,448MB,0,0.7036860658334642,1.1433816404573307,16MB,15260.978358,2.097,152528.0,0.0
11,2GB,64MB,448MB,0,0.7022090777732543,1.168208891372927,16MB,13504.087687,2.37,135000.0,0.0
12,2GB,52MB,576MB,0,0.7019753773639005,1.1485906496515284,12MB,8818.977312,3.629,88132.0,0.0
13,2GB,56MB,320MB,5,0.7979302534262883,1.1349601666362994,16MB,13873.338177,2.307,138504.0,0.0
14,8GB,52MB,576MB,13,0.7228342806198278,1.2061930947020414,20MB,10991.329337,2.911,109877.0,0.0
0,4GB,40MB,192MB,9,0.7454562418017752,1.0550213529560302,8MB,6718.450049,4.763,67136.0,0.0
1,2GB,40MB,192MB,3,0.7426310309218228,1.019515477895584,24MB,12447.502077,2.571,124803.0,0.0
2,2GB,8MB,704MB,5,0.8366775698358199,1.0554563366576581,24MB,12750.180205,2.51,127445.0,0.0
3,4GB,40MB,960MB,9,0.8356740207895621,1.0422772674924288,20MB,8277.919581,3.866,82735.0,0.0
4,4GB,16MB,64MB,11,0.7827245062131623,1.0190675050858071,8MB,11680.118754,2.74,116689.0,0.0
5,4GB,60MB,512MB,5,0.726972856748326,1.0094287557060202,16MB,6802.610041,4.704,67926.0,0.0
6,8GB,16MB,448MB,7,0.9009180192247785,1.0559710176658108,24MB,7540.892514,4.244,75319.0,0.0
7,8GB,24MB,128MB,3,0.7844037928509069,1.2828729111737558,8MB,14258.408302,2.244,142523.0,0.0
8,4GB,64MB,1024MB,7,0.9270664714916634,1.0718685672000918,4MB,10284.1977,3.112,102841.0,0.0
9,4GB,44MB,832MB,11,0.7466296275999635,1.0122325424664291,16MB,11895.985014,2.69,118789.0,0.0
10,8GB,24MB,320MB,0,0.7993022690911155,1.2722994385847555,8MB,11384.809419,2.811,113828.0,0.0
11,2GB,4MB,704MB,5,0.8551173165729543,1.2858625336666158,12MB,11283.340123,2.836,112679.0,0.0
12,8GB,4MB,640MB,3,0.8696415245695278,1.1937569322109725,12MB,10282.622045,3.112,102784.0,0.0
13,2GB,24MB,768MB,13,0.7993323099693016,1.1261480254288494,4MB,9768.31697,3.276,97606.0,0.0
14,8GB,16MB,448MB,2,0.8236165220812937,1.2143805603444466,20MB,11931.706712,2.682,119203.0,0.0
